2019-10-16 21:49:39 startup archives install
2019-10-16 21:49:39 install base-passwd:amd64 <none> 3.5.46
2019-10-16 21:49:39 status half-installed base-passwd:amd64 3.5.46
2019-10-16 21:49:39 status unpacked base-passwd:amd64 3.5.46
2019-10-16 21:49:39 configure base-passwd:amd64 3.5.46 3.5.46
2019-10-16 21:49:39 status half-configured base-passwd:amd64 3.5.46
2019-10-16 21:49:40 status installed base-passwd:amd64 3.5.46
2019-10-16 21:49:40 startup archives install
2019-10-16 21:49:40 install base-files:amd64 <none> 10.2ubuntu7
2019-10-16 21:49:40 status half-installed base-files:amd64 10.2ubuntu7
2019-10-16 21:49:40 status unpacked base-files:amd64 10.2ubuntu7
2019-10-16 21:49:40 configure base-files:amd64 10.2ubuntu7 10.2ubuntu7
2019-10-16 21:49:40 status half-configured base-files:amd64 10.2ubuntu7
2019-10-16 21:49:40 status installed base-files:amd64 10.2ubuntu7
2019-10-16 21:49:40 startup archives install
2019-10-16 21:49:40 upgrade dpkg 1.19.7ubuntu2 1.19.7ubuntu2
2019-10-16 21:49:40 status half-configured dpkg 1.19.7ubuntu2
2019-10-16 21:49:40 status unpacked dpkg 1.19.7ubuntu2
2019-10-16 21:49:40 status half-installed dpkg 1.19.7ubuntu2
2019-10-16 21:49:40 status unpacked dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:40 configure dpkg:amd64 1.19.7ubuntu2 1.19.7ubuntu2
2019-10-16 21:49:40 status half-configured dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:40 status installed dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:40 startup archives install
2019-10-16 21:49:40 install libc6:amd64 <none> 2.30-0ubuntu2
2019-10-16 21:49:40 status half-installed libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:41 status unpacked libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:41 configure libc6:amd64 2.30-0ubuntu2 2.30-0ubuntu2
2019-10-16 21:49:41 status half-configured libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:41 status installed libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:41 startup archives install
2019-10-16 21:49:41 install perl-base:amd64 <none> 5.28.1-6build1
2019-10-16 21:49:41 status half-installed perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:41 status unpacked perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:41 configure perl-base:amd64 5.28.1-6build1 5.28.1-6build1
2019-10-16 21:49:41 status half-configured perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:41 status installed perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:41 startup archives install
2019-10-16 21:49:41 install mawk:amd64 <none> 1.3.3-17ubuntu3
2019-10-16 21:49:41 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:41 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:41 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-10-16 21:49:41 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:41 status installed mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:41 startup archives unpack
2019-10-16 21:49:41 upgrade base-files:amd64 10.2ubuntu7 10.2ubuntu7
2019-10-16 21:49:41 status half-configured base-files:amd64 10.2ubuntu7
2019-10-16 21:49:41 status unpacked base-files:amd64 10.2ubuntu7
2019-10-16 21:49:41 status half-installed base-files:amd64 10.2ubuntu7
2019-10-16 21:49:41 status unpacked base-files:amd64 10.2ubuntu7
2019-10-16 21:49:41 upgrade base-passwd:amd64 3.5.46 3.5.46
2019-10-16 21:49:41 status half-configured base-passwd:amd64 3.5.46
2019-10-16 21:49:41 status unpacked base-passwd:amd64 3.5.46
2019-10-16 21:49:41 status half-installed base-passwd:amd64 3.5.46
2019-10-16 21:49:41 status unpacked base-passwd:amd64 3.5.46
2019-10-16 21:49:41 install bash:amd64 <none> 5.0-4ubuntu1
2019-10-16 21:49:41 status half-installed bash:amd64 5.0-4ubuntu1
2019-10-16 21:49:41 status unpacked bash:amd64 5.0-4ubuntu1
2019-10-16 21:49:41 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu2
2019-10-16 21:49:41 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu2
2019-10-16 21:49:41 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu2
2019-10-16 21:49:41 install coreutils:amd64 <none> 8.30-3ubuntu2
2019-10-16 21:49:41 status half-installed coreutils:amd64 8.30-3ubuntu2
2019-10-16 21:49:42 status unpacked coreutils:amd64 8.30-3ubuntu2
2019-10-16 21:49:42 install dash:amd64 <none> 0.5.10.2-6
2019-10-16 21:49:42 status half-installed dash:amd64 0.5.10.2-6
2019-10-16 21:49:42 status unpacked dash:amd64 0.5.10.2-6
2019-10-16 21:49:42 install debconf:all <none> 1.5.73
2019-10-16 21:49:42 status half-installed debconf:all 1.5.73
2019-10-16 21:49:42 status unpacked debconf:all 1.5.73
2019-10-16 21:49:42 install debianutils:amd64 <none> 4.8.6.3
2019-10-16 21:49:42 status half-installed debianutils:amd64 4.8.6.3
2019-10-16 21:49:42 status unpacked debianutils:amd64 4.8.6.3
2019-10-16 21:49:42 install diffutils:amd64 <none> 1:3.7-3
2019-10-16 21:49:42 status half-installed diffutils:amd64 1:3.7-3
2019-10-16 21:49:42 status unpacked diffutils:amd64 1:3.7-3
2019-10-16 21:49:42 upgrade dpkg:amd64 1.19.7ubuntu2 1.19.7ubuntu2
2019-10-16 21:49:42 status half-configured dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:42 status unpacked dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:42 status half-installed dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:42 status unpacked dpkg:amd64 1.19.7ubuntu2
2019-10-16 21:49:42 install e2fsprogs:amd64 <none> 1.45.3-4ubuntu2
2019-10-16 21:49:42 status half-installed e2fsprogs:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:42 status unpacked e2fsprogs:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:42 install fdisk:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:42 status half-installed fdisk:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:42 status unpacked fdisk:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:42 install findutils:amd64 <none> 4.6.0+git+20190209-2ubuntu1
2019-10-16 21:49:42 status half-installed findutils:amd64 4.6.0+git+20190209-2ubuntu1
2019-10-16 21:49:42 status unpacked findutils:amd64 4.6.0+git+20190209-2ubuntu1
2019-10-16 21:49:42 install gcc-9-base:amd64 <none> 9.2.1-9ubuntu2
2019-10-16 21:49:42 status half-installed gcc-9-base:amd64 9.2.1-9ubuntu2
2019-10-16 21:49:42 status unpacked gcc-9-base:amd64 9.2.1-9ubuntu2
2019-10-16 21:49:42 install grep:amd64 <none> 3.3-1build1
2019-10-16 21:49:42 status half-installed grep:amd64 3.3-1build1
2019-10-16 21:49:42 status unpacked grep:amd64 3.3-1build1
2019-10-16 21:49:42 install gzip:amd64 <none> 1.10-0ubuntu3
2019-10-16 21:49:42 status half-installed gzip:amd64 1.10-0ubuntu3
2019-10-16 21:49:42 status unpacked gzip:amd64 1.10-0ubuntu3
2019-10-16 21:49:42 install hostname:amd64 <none> 3.22
2019-10-16 21:49:42 status half-installed hostname:amd64 3.22
2019-10-16 21:49:42 status unpacked hostname:amd64 3.22
